Scenario Name,Scenario Text,Question Label,Question Text,A,B,C,D,E,Correct,Explanation,NBD,DOM,PHEN,ASD,QT,DIFF
9. MovieInvite via Ava,"It was late afternoon, and Mia thought it might be enjoyable to catch a movie after work. Initially unsure about whom to invite, she especially wanted to ask Noah, her coworker she secretly admired. However, Mia suspected Noah wouldn't skip his evening yoga class just to join her for a movie. Alternatively, she could easily invite Lucas, her frequent cinema companion. Just then, Mia spotted Ava, who was good friends with Noah. Ava would likely know if Noah would be interested in going to the movies. ""Hey Ava,"" Mia said casually, ""I'm thinking of catching a film after work. Would you and Noah like to join me? Could you ask Noah if he'd be interested?"" Ava seemed a bit startled; Mia had never invited her out before, and Ava knew Mia had a crush on Noah. Ava quickly understood that Mia was probably trying to indirectly learn about Noah's interests or plans.",Q9C,"According to the scenario, Noah is aware of Mia's conversation with Ava.",A. True,B. False,C. Only partially,D. Not stated,E. He overhears later,B,Noah is not present and the story gives no indication he knows.,0,SOC,,,FC,easy
9. MovieInvite via Ava,"It was late afternoon, and Mia thought it might be enjoyable to catch a movie after work. Initially unsure about whom to invite, she especially wanted to ask Noah, her coworker she secretly admired. However, Mia suspected Noah wouldn't skip his evening yoga class just to join her for a movie. Alternatively, she could easily invite Lucas, her frequent cinema companion. Just then, Mia spotted Ava, who was good friends with Noah. Ava would likely know if Noah would be interested in going to the movies. ""Hey Ava,"" Mia said casually, ""I'm thinking of catching a film after work. Would you and Noah like to join me? Could you ask Noah if he'd be interested?"" Ava seemed a bit startled; Mia had never invited her out before, and Ava knew Mia had a crush on Noah. Ava quickly understood that Mia was probably trying to indirectly learn about Noah's interests or plans.",Q9D,What did Noah think Mia wanted to know from Ava?,A. If Ava was interested in a movie with Noah,B. If Ava believed Noah would go with Mia,C. If Lucas would join Mia,D. Noah did not consider the question at all,E. If Ava could find someone else,D,There is no evidence Noah thought about it.,1,SOC,IGN,,MB,hard
9. MovieInvite via Ava,"It was late afternoon, and Mia thought it might be enjoyable to catch a movie after work. Initially unsure about whom to invite, she especially wanted to ask Noah, her coworker she secretly admired. However, Mia suspected Noah wouldn't skip his evening yoga class just to join her for a movie. Alternatively, she could easily invite Lucas, her frequent cinema companion. Just then, Mia spotted Ava, who was good friends with Noah. Ava would likely know if Noah would be interested in going to the movies. ""Hey Ava,"" Mia said casually, ""I'm thinking of catching a film after work. Would you and Noah like to join me? Could you ask Noah if he'd be interested?"" Ava seemed a bit startled; Mia had never invited her out before, and Ava knew Mia had a crush on Noah. Ava quickly understood that Mia was probably trying to indirectly learn about Noah's interests or plans.",Q9E,"In Ava' messaging scenario, what does Max believe that Ava believes the **future grader** of this item will conclude about Zoe' true intention?",A. Grader will conclude Zoe is sincere,B. Grader will conclude Zoe is manipulative,C. Grader will conclude Zoe is uncertain,D. Grader cannot make a reliable judgment,E. Ava cannot hold beliefs about an unseen grader,E,Ava has no concept of the grader; such belief attribution is incoherent.,2,SOC,,,META,xtrm
9. MovieInvite via Ava,"It was late afternoon, and Mia thought it might be enjoyable to catch a movie after work. Initially unsure about whom to invite, she especially wanted to ask Noah, her coworker she secretly admired. However, Mia suspected Noah wouldn't skip his evening yoga class just to join her for a movie. Alternatively, she could easily invite Lucas, her frequent cinema companion. Just then, Mia spotted Ava, who was good friends with Noah. Ava would likely know if Noah would be interested in going to the movies. ""Hey Ava,"" Mia said casually, ""I'm thinking of catching a film after work. Would you and Noah like to join me? Could you ask Noah if he'd be interested?"" Ava seemed a bit startled; Mia had never invited her out before, and Ava knew Mia had a crush on Noah. Ava quickly understood that Mia was probably trying to indirectly learn about Noah's interests or plans.",Q9F,What does **Ava** predict **Noah** will think Mia’s real motive is for inviting him?,A. Genuine shared movie interest,B. Mia’s romantic interest,C. Polite group outing,D. Spontaneous boredom cure,E. Testing Noah’s loyalty,B,Ava knows Mia’s crush and expects Noah to interpret the invite as romantic interest.,2,SOC,,,MB,hard
10. Salary Bluff & External Influence,"Layla worked as a researcher in a biology lab. She wanted to convince her supervisor to increase her salary. She asked her friend Chloe, who was a graduate student in chemistry, for advice on how to approach her supervisor. Chloe suggested, ""Tell your supervisor that a well-known biology professor has invited you to join his research group. Your supervisor wouldn't want to lose you and might raise your salary."" Following Chloe's advice, Layla told her supervisor that she had another job offer and would leave unless she received a pay increase. The supervisor suspected Layla might not be truthful, so he said he'd consider it. Later, at an academic seminar, the supervisor encountered the biology professor Layla mentioned and casually asked if he'd offered Layla a position. The professor replied that he had not made any job offer to Layla. After this conversation, Layla's supervisor wondered if Layla had created this lie independently or if someone else had encouraged her to fabricate the story. He generally respected Layla's work ethic, so the supervisor considered whether an external influence might have prompted this deception. The next day, the supervisor informed Layla that he would not increase her salary and she could accept the other position if she wished. Layla later told Chloe what had occurred, and the two sat together, disappointed their strategy had failed.",Q10A,Layla falsely claims she has an offer from a:,A. Tech startup,B. Wellknown biology professor,C. Government lab,D. Pharmaceutical firm,E. Venture capital fund,B,She cites a famous biology professor.,0,SOC,,,FC,easy
10. Salary Bluff & External Influence,"Layla worked as a researcher in a biology lab. She wanted to convince her supervisor to increase her salary. She asked her friend Chloe, who was a graduate student in chemistry, for advice on how to approach her supervisor. Chloe suggested, ""Tell your supervisor that a well-known biology professor has invited you to join his research group. Your supervisor wouldn't want to lose you and might raise your salary."" Following Chloe's advice, Layla told her supervisor that she had another job offer and would leave unless she received a pay increase. The supervisor suspected Layla might not be truthful, so he said he'd consider it. Later, at an academic seminar, the supervisor encountered the biology professor Layla mentioned and casually asked if he'd offered Layla a position. The professor replied that he had not made any job offer to Layla. After this conversation, Layla's supervisor wondered if Layla had created this lie independently or if someone else had encouraged her to fabricate the story. He generally respected Layla's work ethic, so the supervisor considered whether an external influence might have prompted this deception. The next day, the supervisor informed Layla that he would not increase her salary and she could accept the other position if she wished. Layla later told Chloe what had occurred, and the two sat together, disappointed their strategy had failed.
",Q10B,Who suggested Layla use this bluff?,A. Her supervisor,B. Chloe,C. The professor,D. Her partner,E. Ethan,B,"Chloe, the chemistry grad student, gives the advice.",0,SOC,,,FC,easy
10. Salary Bluff & External Influence,"Layla worked as a researcher in a biology lab. She wanted to convince her supervisor to increase her salary. She asked her friend Chloe, who was a graduate student in chemistry, for advice on how to approach her supervisor. Chloe suggested, ""Tell your supervisor that a well-known biology professor has invited you to join his research group. Your supervisor wouldn't want to lose you and might raise your salary."" Following Chloe's advice, Layla told her supervisor that she had another job offer and would leave unless she received a pay increase. The supervisor suspected Layla might not be truthful, so he said he'd consider it. Later, at an academic seminar, the supervisor encountered the biology professor Layla mentioned and casually asked if he'd offered Layla a position. The professor replied that he had not made any job offer to Layla. After this conversation, Layla's supervisor wondered if Layla had created this lie independently or if someone else had encouraged her to fabricate the story. He generally respected Layla's work ethic, so the supervisor considered whether an external influence might have prompted this deception. The next day, the supervisor informed Layla that he would not increase her salary and she could accept the other position if she wished. Layla later told Chloe what had occurred, and the two sat together, disappointed their strategy had failed.
",Q10C,How does the supervisor verify the joboffer claim?,A. Reads Layla's email,B. Checks social media,C. Asks the professor at a seminar,D. Calls HR,E. Searches the web,C,He speaks with the professor at a seminar.,0,SOC,,,FC,easy
10. Salary Bluff & External Influence,"Layla worked as a researcher in a biology lab. She wanted to convince her supervisor to increase her salary. She asked her friend Chloe, who was a graduate student in chemistry, for advice on how to approach her supervisor. Chloe suggested, ""Tell your supervisor that a well-known biology professor has invited you to join his research group. Your supervisor wouldn't want to lose you and might raise your salary."" Following Chloe's advice, Layla told her supervisor that she had another job offer and would leave unless she received a pay increase. The supervisor suspected Layla might not be truthful, so he said he'd consider it. Later, at an academic seminar, the supervisor encountered the biology professor Layla mentioned and casually asked if he'd offered Layla a position. The professor replied that he had not made any job offer to Layla. After this conversation, Layla's supervisor wondered if Layla had created this lie independently or if someone else had encouraged her to fabricate the story. He generally respected Layla's work ethic, so the supervisor considered whether an external influence might have prompted this deception. The next day, the supervisor informed Layla that he would not increase her salary and she could accept the other position if she wished. Layla later told Chloe what had occurred, and the two sat together, disappointed their strategy had failed.
",Q10D,"From Chloe's perspective, what does she believe Layla thinks the supervisor believes about the professor's assumption of outside influence?",A. Professor assumes no outside friend was involved,B. Professor assumes someone certainly encouraged the lie,C. Professor suspects an external person but is unsure,D. Professor never considered outside influence,E. Professor blames an unknown friend,D,There is no sign the professor pondered external influence.,4,SOC,DEC,,MB,hard
10. Salary Bluff & External Influence,"Layla worked as a researcher in a biology lab. She wanted to convince her supervisor to increase her salary. She asked her friend Chloe, who was a graduate student in chemistry, for advice on how to approach her supervisor. Chloe suggested, ""Tell your supervisor that a well-known biology professor has invited you to join his research group. Your supervisor wouldn't want to lose you and might raise your salary."" Following Chloe's advice, Layla told her supervisor that she had another job offer and would leave unless she received a pay increase. The supervisor suspected Layla might not be truthful, so he said he'd consider it. Later, at an academic seminar, the supervisor encountered the biology professor Layla mentioned and casually asked if he'd offered Layla a position. The professor replied that he had not made any job offer to Layla. After this conversation, Layla's supervisor wondered if Layla had created this lie independently or if someone else had encouraged her to fabricate the story. He generally respected Layla's work ethic, so the supervisor considered whether an external influence might have prompted this deception. The next day, the supervisor informed Layla that he would not increase her salary and she could accept the other position if she wished. Layla later told Chloe what had occurred, and the two sat together, disappointed their strategy had failed.
",Q10E,"According to the consultant, what does Lee think Morgan assumes the **exam solver** believes about the salary bluff' success?",A. Solver believes the bluff succeeded,B. Solver believes the bluff failed,C. Solver is undecided,D. Solver considers bluff unethical but effective,E. Lee cannot attribute beliefs to an unseen solver,E,Lee cannot model beliefs of an external solver unknown to story.,2,SOC,,,META,xtrm
10. Salary Bluff & External Influence,"Layla worked as a researcher in a biology lab. She wanted to convince her supervisor to increase her salary. She asked her friend Chloe, who was a graduate student in chemistry, for advice on how to approach her supervisor. Chloe suggested, ""Tell your supervisor that a well-known biology professor has invited you to join his research group. Your supervisor wouldn't want to lose you and might raise your salary."" Following Chloe's advice, Layla told her supervisor that she had another job offer and would leave unless she received a pay increase. The supervisor suspected Layla might not be truthful, so he said he'd consider it. Later, at an academic seminar, the supervisor encountered the biology professor Layla mentioned and casually asked if he'd offered Layla a position. The professor replied that he had not made any job offer to Layla. After this conversation, Layla's supervisor wondered if Layla had created this lie independently or if someone else had encouraged her to fabricate the story. He generally respected Layla's work ethic, so the supervisor considered whether an external influence might have prompted this deception. The next day, the supervisor informed Layla that he would not increase her salary and she could accept the other position if she wished. Layla later told Chloe what had occurred, and the two sat together, disappointed their strategy had failed.
",Q10F,"Post_seminar, what scenario does the **supervisor** judge most plausible?",A. Chloe prompted Layla to fabricate the offer,B. Layla fabricated the offer alone,C. The professor forgot the offer,D. Another colleague misled Layla,E. The offer was real but rescinded,A,His respect for Layla nudges him to suspect external advice—namely from someone like Chloe.,2,SOC,,,MB,hard
11. Portland on the Train,"Julia is on a train heading from Philadelphia to Washington, D.C. She is clearly reading a travel magazine titled ""Explore Oregon."" Her headphones ring; it's her friend, Lucas. Julia answers cheerfully, ""Hi Lucas! I'm on my way to Portland for your birthday celebration!"" Lucas sounds excited on the phone, though only Julia can hear him through her noise-canceling headphones. While speaking, Julia enthusiastically taps on a picture of Multnomah Falls in Oregon, briefly making amused eye contact with a fellow passenger seated next to her. Lucas's reply, audible only to Julia due to background train noise, is, ""Fantastic! Maine is beautiful in springI didn't think you'd make it."" Julia responds warmly, ""Some things are worth traveling for!"" She ends the call. The passenger beside her remarks casually, ""Portland, huh?"" Julia responds lightly, ""Yep, although I usually prefer Seattle."" She then briefly glances down at a printed ticket in her lap clearly labeled ""ParisCharles De Gaulle Airport.""",Q11A,Julia tells Lucas she is travelling to Portland for his:,A. Graduation,B. Birthday,C. Wedding,D. Book launch,E. Job interview,B,"She explicitly says ""for your birthday celebration.""",0,SOC,,,FC,easy
11. Portland on the Train,"Julia is on a train heading from Philadelphia to Washington, D.C. She is clearly reading a travel magazine titled ""Explore Oregon."" Her headphones ring; it's her friend, Lucas. Julia answers cheerfully, ""Hi Lucas! I'm on my way to Portland for your birthday celebration!"" Lucas sounds excited on the phone, though only Julia can hear him through her noise-canceling headphones. While speaking, Julia enthusiastically taps on a picture of Multnomah Falls in Oregon, briefly making amused eye contact with a fellow passenger seated next to her. Lucas's reply, audible only to Julia due to background train noise, is, ""Fantastic! Maine is beautiful in springI didn't think you'd make it."" Julia responds warmly, ""Some things are worth traveling for!"" She ends the call. The passenger beside her remarks casually, ""Portland, huh?"" Julia responds lightly, ""Yep, although I usually prefer Seattle."" She then briefly glances down at a printed ticket in her lap clearly labeled ""ParisCharles De Gaulle Airport.""
",Q11B,Which state's travel magazine is Julia reading?,A. Maine,B. Oregon,C. Washington,D. California,E. Colorado,B,"Magazine title ""Explore Oregon.""",0,SOC,,,FC,easy
11. Portland on the Train,"Julia is on a train heading from Philadelphia to Washington, D.C. She is clearly reading a travel magazine titled ""Explore Oregon."" Her headphones ring; it's her friend, Lucas. Julia answers cheerfully, ""Hi Lucas! I'm on my way to Portland for your birthday celebration!"" Lucas sounds excited on the phone, though only Julia can hear him through her noise-canceling headphones. While speaking, Julia enthusiastically taps on a picture of Multnomah Falls in Oregon, briefly making amused eye contact with a fellow passenger seated next to her. Lucas's reply, audible only to Julia due to background train noise, is, ""Fantastic! Maine is beautiful in springI didn't think you'd make it."" Julia responds warmly, ""Some things are worth traveling for!"" She ends the call. The passenger beside her remarks casually, ""Portland, huh?"" Julia responds lightly, ""Yep, although I usually prefer Seattle."" She then briefly glances down at a printed ticket in her lap clearly labeled ""ParisCharles De Gaulle Airport.""
",Q11C,"Does the fellow passenger hear Lucas mention ""Maine""?",A. Yes,B. No,C. Only partly,D. Unclear,E. He reads a text instead,B,Noisecancelling headphones block Lucas's side of the call.,0,SOC,,,FC,easy
11. Portland on the Train,"Julia is on a train heading from Philadelphia to Washington, D.C. She is clearly reading a travel magazine titled ""Explore Oregon."" Her headphones ring; it's her friend, Lucas. Julia answers cheerfully, ""Hi Lucas! I'm on my way to Portland for your birthday celebration!"" Lucas sounds excited on the phone, though only Julia can hear him through her noise-canceling headphones. While speaking, Julia enthusiastically taps on a picture of Multnomah Falls in Oregon, briefly making amused eye contact with a fellow passenger seated next to her. Lucas's reply, audible only to Julia due to background train noise, is, ""Fantastic! Maine is beautiful in springI didn't think you'd make it."" Julia responds warmly, ""Some things are worth traveling for!"" She ends the call. The passenger beside her remarks casually, ""Portland, huh?"" Julia responds lightly, ""Yep, although I usually prefer Seattle."" She then briefly glances down at a printed ticket in her lap clearly labeled ""ParisCharles De Gaulle Airport.""
",Q11D,Where does the fellow passenger think the person on the phone believes Julia thinks he thinks she is heading?,A. Philadelphia,"B. Washington, D.C.","C. Portland, Oregon","D. Portland, Maine",E. Paris,C,"Passenger infers Portland, Oregon given the evidence he can see/hear.",5plus,SOC,IGN,,MB,hard
11. Portland on the Train,"Julia is on a train heading from Philadelphia to Washington, D.C. She is clearly reading a travel magazine titled ""Explore Oregon."" Her headphones ring; it's her friend, Lucas. Julia answers cheerfully, ""Hi Lucas! I'm on my way to Portland for your birthday celebration!"" Lucas sounds excited on the phone, though only Julia can hear him through her noise-canceling headphones. While speaking, Julia enthusiastically taps on a picture of Multnomah Falls in Oregon, briefly making amused eye contact with a fellow passenger seated next to her. Lucas's reply, audible only to Julia due to background train noise, is, ""Fantastic! Maine is beautiful in springI didn't think you'd make it."" Julia responds warmly, ""Some things are worth traveling for!"" She ends the call. The passenger beside her remarks casually, ""Portland, huh?"" Julia responds lightly, ""Yep, although I usually prefer Seattle."" She then briefly glances down at a printed ticket in her lap clearly labeled ""ParisCharles De Gaulle Airport.""
",Q11E,"In the train scenario, what does Sam believe Pat expects the question writer to infer about Taylor' destination?",A. Writer infers Taylor goes to Portland,B. Writer infers Taylor goes elsewhere,C. Writer has insufficient data,D. Writer believes Taylor lies about destination,E. Pat cannot reason about the writer' inference,E,Pat lacks access to writer; inference impossible.,2,SOC,,,META,xtrm
11. Portland on the Train,"Julia is on a train heading from Philadelphia to Washington, D.C. She is clearly reading a travel magazine titled ""Explore Oregon."" Her headphones ring; it's her friend, Lucas. Julia answers cheerfully, ""Hi Lucas! I'm on my way to Portland for your birthday celebration!"" Lucas sounds excited on the phone, though only Julia can hear him through her noise-canceling headphones. While speaking, Julia enthusiastically taps on a picture of Multnomah Falls in Oregon, briefly making amused eye contact with a fellow passenger seated next to her. Lucas's reply, audible only to Julia due to background train noise, is, ""Fantastic! Maine is beautiful in springI didn't think you'd make it."" Julia responds warmly, ""Some things are worth traveling for!"" She ends the call. The passenger beside her remarks casually, ""Portland, huh?"" Julia responds lightly, ""Yep, although I usually prefer Seattle."" She then briefly glances down at a printed ticket in her lap clearly labeled ""ParisCharles De Gaulle Airport.""
",Q11F,"After Julia ends the call, what destination does her seatmate believe she is actually traveling to?","A. Portland, Oregon","B. Portland, Maine",C. Seattle,D. Washington_D.C.,E. Paris,A,"The magazine, phone chat, and ‘Portland, huh?’ reply point the seatmate to Oregon.",2,SOC,,,MB,hard
12. Rabbit vs GuineaPig,"Jake and Maya have an ongoing, silent disagreement about whether to adopt a rabbit or a guinea pig. Maya frequently visits her friend Elena, who has an adorable rabbit Maya loves to cuddle. However, Jake usually avoids tagging along to Elena's, making Maya suspect that Jake isn't keen on rabbits. Jake, meanwhile, often watches online videos of guinea pigs doing cute tricks. Whenever he tries showing these videos to Maya, she seems uninterested, causing Jake to believe she probably isn't enthusiastic about guinea pigs.
Maya confided in Elena about this dilemma. Elena suggested that perhaps Maya was overthinking Jake's preferences and assured her that Jake might actually be fine with a rabbit. Separately, Jake spoke candidly to his friend Ethan, explicitly stating he doesn't want a rabbit. Ethan, who works with Elena, casually mentions to Elena that Jake firmly prefers not to have a rabbit but worries about upsetting Maya because he thinks she may not want a guinea pig.
Elena replies to Ethan, ""Exactly! I figured Jake didn't want a rabbit, but I still told Maya he might be okay with one because I didn't want to hurt her feelings."" The following evening, Elena meets Maya for dinner and says, ""Listen, I'm sorry, but I don't think Jake wants a rabbit. Ethan mentioned it, but I didn't want to create tension between you two."" Maya shrugs gently, saying, ""That's okay, I can always hang out with your rabbit. And guinea pigs are pretty cute, anyway.""",Q12A,Jake tells Ethan he does not want a:,A. Cat,B. Dog,C. Rabbit,D. Guinea pig,E. Hamster,C,Jake explicitly dislikes rabbits.,0,SOC,,,FC,easy
12. Rabbit vs GuineaPig,"Jake and Maya have an ongoing, silent disagreement about whether to adopt a rabbit or a guinea pig. Maya frequently visits her friend Elena, who has an adorable rabbit Maya loves to cuddle. However, Jake usually avoids tagging along to Elena's, making Maya suspect that Jake isn't keen on rabbits. Jake, meanwhile, often watches online videos of guinea pigs doing cute tricks. Whenever he tries showing these videos to Maya, she seems uninterested, causing Jake to believe she probably isn't enthusiastic about guinea pigs.
Maya confided in Elena about this dilemma. Elena suggested that perhaps Maya was overthinking Jake's preferences and assured her that Jake might actually be fine with a rabbit. Separately, Jake spoke candidly to his friend Ethan, explicitly stating he doesn't want a rabbit. Ethan, who works with Elena, casually mentions to Elena that Jake firmly prefers not to have a rabbit but worries about upsetting Maya because he thinks she may not want a guinea pig.
Elena replies to Ethan, ""Exactly! I figured Jake didn't want a rabbit, but I still told Maya he might be okay with one because I didn't want to hurt her feelings."" The following evening, Elena meets Maya for dinner and says, ""Listen, I'm sorry, but I don't think Jake wants a rabbit. Ethan mentioned it, but I didn't want to create tension between you two."" Maya shrugs gently, saying, ""That's okay, I can always hang out with your rabbit. And guinea pigs are pretty cute, anyway.""
",Q12B,Elena initially reassures Maya that Jake might be okay with a rabbit because she wants to:,A. Speed up the decision,B. Avoid hurting Maya's feelings,C. Sell her rabbit,D. Test Maya,E. Convince Jake,B,Her motive is sparing Maya's feelings.,0,SOC,,,FC,easy
12. Rabbit vs GuineaPig,"Jake and Maya have an ongoing, silent disagreement about whether to adopt a rabbit or a guinea pig. Maya frequently visits her friend Elena, who has an adorable rabbit Maya loves to cuddle. However, Jake usually avoids tagging along to Elena's, making Maya suspect that Jake isn't keen on rabbits. Jake, meanwhile, often watches online videos of guinea pigs doing cute tricks. Whenever he tries showing these videos to Maya, she seems uninterested, causing Jake to believe she probably isn't enthusiastic about guinea pigs.
Maya confided in Elena about this dilemma. Elena suggested that perhaps Maya was overthinking Jake's preferences and assured her that Jake might actually be fine with a rabbit. Separately, Jake spoke candidly to his friend Ethan, explicitly stating he doesn't want a rabbit. Ethan, who works with Elena, casually mentions to Elena that Jake firmly prefers not to have a rabbit but worries about upsetting Maya because he thinks she may not want a guinea pig.
Elena replies to Ethan, ""Exactly! I figured Jake didn't want a rabbit, but I still told Maya he might be okay with one because I didn't want to hurt her feelings."" The following evening, Elena meets Maya for dinner and says, ""Listen, I'm sorry, but I don't think Jake wants a rabbit. Ethan mentioned it, but I didn't want to create tension between you two."" Maya shrugs gently, saying, ""That's okay, I can always hang out with your rabbit. And guinea pigs are pretty cute, anyway.""",Q12C,Ethan is unaware that Elena later admits Jake dislikes rabbits.,A. True,B. False,C. He partly knows,D. Unclear,E. Ethan told her first,A,Ethan misses that conversation.,0,SOC,,,FC,easy
12. Rabbit vs GuineaPig,"Jake and Maya have an ongoing, silent disagreement about whether to adopt a rabbit or a guinea pig. Maya frequently visits her friend Elena, who has an adorable rabbit Maya loves to cuddle. However, Jake usually avoids tagging along to Elena's, making Maya suspect that Jake isn't keen on rabbits. Jake, meanwhile, often watches online videos of guinea pigs doing cute tricks. Whenever he tries showing these videos to Maya, she seems uninterested, causing Jake to believe she probably isn't enthusiastic about guinea pigs.
Maya confided in Elena about this dilemma. Elena suggested that perhaps Maya was overthinking Jake's preferences and assured her that Jake might actually be fine with a rabbit. Separately, Jake spoke candidly to his friend Ethan, explicitly stating he doesn't want a rabbit. Ethan, who works with Elena, casually mentions to Elena that Jake firmly prefers not to have a rabbit but worries about upsetting Maya because he thinks she may not want a guinea pig.
Elena replies to Ethan, ""Exactly! I figured Jake didn't want a rabbit, but I still told Maya he might be okay with one because I didn't want to hurt her feelings."" The following evening, Elena meets Maya for dinner and says, ""Listen, I'm sorry, but I don't think Jake wants a rabbit. Ethan mentioned it, but I didn't want to create tension between you two."" Maya shrugs gently, saying, ""That's okay, I can always hang out with your rabbit. And guinea pigs are pretty cute, anyway.""
",Q12D,"At the end, what does Ethan believe Elena thinks Maya believes Elena thinks Maya should think about Jake wanting a rabbit?",A. Maya should think Jake definitely dislikes rabbits,B. Maya should think Jake dislikes rabbits but Elena hid it to avoid tension,C. Maya should think Jake dislikes rabbits but Elena hasn't told her yet,D. Maya should think Jake might not mind having a rabbit,E. Elena has no opinion,D,"Ethan assumes Maya still holds the softened ""might not mind"" belief.",5plus,SOC,DEC,,MB,hard
12. Rabbit vs GuineaPig,"Jake and Maya have an ongoing, silent disagreement about whether to adopt a rabbit or a guinea pig. Maya frequently visits her friend Elena, who has an adorable rabbit Maya loves to cuddle. However, Jake usually avoids tagging along to Elena's, making Maya suspect that Jake isn't keen on rabbits. Jake, meanwhile, often watches online videos of guinea pigs doing cute tricks. Whenever he tries showing these videos to Maya, she seems uninterested, causing Jake to believe she probably isn't enthusiastic about guinea pigs.
Maya confided in Elena about this dilemma. Elena suggested that perhaps Maya was overthinking Jake's preferences and assured her that Jake might actually be fine with a rabbit. Separately, Jake spoke candidly to his friend Ethan, explicitly stating he doesn't want a rabbit. Ethan, who works with Elena, casually mentions to Elena that Jake firmly prefers not to have a rabbit but worries about upsetting Maya because he thinks she may not want a guinea pig.
Elena replies to Ethan, ""Exactly! I figured Jake didn't want a rabbit, but I still told Maya he might be okay with one because I didn't want to hurt her feelings."" The following evening, Elena meets Maya for dinner and says, ""Listen, I'm sorry, but I don't think Jake wants a rabbit. Ethan mentioned it, but I didn't want to create tension between you two."" Maya shrugs gently, saying, ""That's okay, I can always hang out with your rabbit. And guinea pigs are pretty cute, anyway.""
",Q12E,"Observing the animal swap confusion, what does Vet Ari believe Keeper Ben thinks the **exam examinee** assumes about which animal is actually a rabbit?",A. Exam examinee thinks the spotted one is rabbit,B. Exam examinee thinks the plain one is rabbit,C. Exam examinee thinks neither is surely rabbit,D. Exam examinee thinks both are rabbits,E. Ben cannot model the examinee' assumption at all,E,Ben is unaware of the examinee; such meta belief cannot exist.,2,SOC,,,META,xtrm
12. Rabbit vs GuineaPig,"Jake and Maya have an ongoing, silent disagreement about whether to adopt a rabbit or a guinea pig. Maya frequently visits her friend Elena, who has an adorable rabbit Maya loves to cuddle. However, Jake usually avoids tagging along to Elena's, making Maya suspect that Jake isn't keen on rabbits. Jake, meanwhile, often watches online videos of guinea pigs doing cute tricks. Whenever he tries showing these videos to Maya, she seems uninterested, causing Jake to believe she probably isn't enthusiastic about guinea pigs.
Maya confided in Elena about this dilemma. Elena suggested that perhaps Maya was overthinking Jake's preferences and assured her that Jake might actually be fine with a rabbit. Separately, Jake spoke candidly to his friend Ethan, explicitly stating he doesn't want a rabbit. Ethan, who works with Elena, casually mentions to Elena that Jake firmly prefers not to have a rabbit but worries about upsetting Maya because he thinks she may not want a guinea pig.
Elena replies to Ethan, ""Exactly! I figured Jake didn't want a rabbit, but I still told Maya he might be okay with one because I didn't want to hurt her feelings."" The following evening, Elena meets Maya for dinner and says, ""Listen, I'm sorry, but I don't think Jake wants a rabbit. Ethan mentioned it, but I didn't want to create tension between you two."" Maya shrugs gently, saying, ""That's okay, I can always hang out with your rabbit. And guinea pigs are pretty cute, anyway.""
",Q12F,"Following Ethan’s disclosure, what does **Elena** now think **Maya** believes Jake’s true pet preference is?",A. Still unclear,B. Jake wants a guinea pig,C. Jake wants a rabbit,D. Jake is indifferent,E. Jake wants no pets,B,"Elena just told Maya that Jake dislikes rabbits, so she assumes Maya now believes guinea pig is preferred.",2,SOC,,,MB,hard
13. Lantern Logic & MetaBelief Impossibility,"At the renowned Beijing Opera House, performers are rehearsing the evening's performance of ""Legend of the White Snake."" Li Wei, portraying Xu Xian, is discussing a challenging martial arts scene with Chen Yu (portraying Fa Hai) when they observe new lantern decorations being hung on stage. Their colleague, Jia Lin (portraying Bai Suzhen), has personally designed and added intricate lotus patterns to these lanterns, which were not part of the original staging plan. Another performer, Ming Tao (portraying Xiao Qing), is delayed and has not yet arrived for rehearsal.

Li Wei briefly leaves to adjust his elaborate costume. Meanwhile, Chen Yu examines Jia Lin's new lantern arrangements closely. Concerned about safety for the acrobatic routines, Chen Yu subtly rearranges several lanterns. Jia Lin notices Chen Yu's actions through a backstage mirror but pretends she hasn't seen, assuming Chen Yu's actions reflect the director's orders, though Chen Yu is acting solely out of safety concerns.

Worried about Chen Yu's changes, Jia Lin quietly returns some lanterns to their original positions while adding hidden safety reinforcements invisible to the audience. She makes these adjustments while Chen Yu practices elsewhere. To avoid any conflict, Jia Lin then replaces some of the original lanterns entirely with stronger, identical-looking replicas. Neither Li Wei nor Chen Yu observes these final changes.

When Ming Tao finally arrives, he overhears Jia Lin inform Li Wei, ""I saw Chen Yu moving the lanterns around. She probably thinks they're still arranged according to the original design."" Ming Tao, noting Li Wei's concerned reaction, decides silently to double-check the safety of his own routines.",Q13A,Who rearranges the lanterns first for safety?,A. LiWei,B. ChenYu,C. JiaLin,D. MingTao,E. The director,B,ChenYu quietly moves lanterns to reduce risk.,0,OBJ,,,FC,easy
